diary_name,strain,strains_company,light_watt,nutrients,watering,soil,germination,grow_techniques,grow_room_size,weeks_to_harvest,num_of_plants,bud_dry_weight,bud_wet_weight
Strawberry Lemonade,Strawberry Lemonade,Barney'S Farm,400 watt,"B.A.C.,Canna,",Manual,"Soil Grow Medium,Perlite Grow Medium,Expanded Clay Grow Medium,Coco Coir Grow Medium,",Paper Towel,"Topping,HST,Defoliation,ScrOG,",,16,,,
Big Band (Indoor Version),Big Band,Kannabia Seed Company,400 watt,"B.A.C.,Canna,",Manual,"Soil Grow Medium,Perlite Grow Medium,Expanded Clay Grow Medium,Coco Coir Grow Medium,",Rockwool Cube,"Topping,LST,ScrOG,Defoliation,",,14,,,
Mimosa punch auto,Auto Mimosa Punch,Dutch Passion,150 watt,"BioBizz,",Manual,"Soil Grow Medium,Perlite Grow Medium,Coco Coir Grow Medium,",Directly In Substrate,"LST,Topping,Defoliation,",,11,2.0,,
Pablo Escobar x 2,Auto Pablo Escobar,Divine Seeds,300 watt,"General Hydroponics (GHE),Purpinator,",Hydroponics,"Expanded Clay Grow Medium,",Paper Towel,,269.1,12,2.0,,30.48
GEA Seeds,Auto M8,Gea Seeds,120 watt,"BioBizz,Living Soils,Gaia Green,",Manual,"Soil Grow Medium,Perlite Grow Medium,Coco Coir Grow Medium,",,,10.76,14,1.0,,7.48
"SOG 4x KoK, 3x KaK, 1x LK 60*60 100w",Kandy Kush,Custom Breeder & Strain,"LED / 100W Custom,LED / 100W Custom,","Cyco Platinum Series,Green House Feeding,Boom Nutrients,",Manual,"Soil Grow Medium,Perlite Grow Medium,sheep manure Grow Medium,worm hummus Grow Medium,Old Soil Grow Medium,",Paper Towel,"Transplant,SoG,Defoliation,",Custom,FLOWERING,,,
1st Grow (Green Gelato Auto by RQS),Green Gelato Automatic,Royal Queen Seeds,100 watt,"RQS Organic Nutrients,BioBizz,TNC (The Nutrient Company),",Manual,"BioBizz Light Mix Grow Medium,",Directly In Substrate,"LST,Defoliation,",2.69,13,1.0,4.37,22.22
Zkittles,Zkittles,BSB Genetics,100 watt,"Advanced Nutrients,General Hydroponics (GHE),",Manual,"Soil Grow Medium,Perlite Grow Medium,Vermiculite Grow Medium,Other Grow Medium,",Glass Of Water,"Topping,Defoliation,LST,HST,",16.15,12,1.0,1.59,7.05
Royal Critical RQS,Royal Critical Automatic,Royal Queen Seeds,240 watt,,Manual,"Soil Grow Medium,",Directly In Substrate,,10.76,11,1.0,2.47,9.52
Purple Punch Auto DWC FastBuds,Purple Punch Auto,Fast Buds,450 watt,"Shogun,Mammoth Microbes,Botanicare,",Hydroponics,,,"Defoliation,",,12,,,
Mephisto - Double Grape x3 - Roi,Double Grape,Mephisto Genetics,300 watt,"General Hydroponics (GHE),",Manual,"AC Infinity Cloudlab 733 Advance Grow Tent 3x3 (36"" X 36"" X 72""),Coco Coir Grow Medium,Perlite Grow Medium,",Paper Towel,"LST,Leaf tucking,Defoliation,",,12,3.0,12.06,
Barney's Farms Pineapple Express Auto,Pineapple Express Auto,Barney'S Farm,150 watt,"Dynomyco,Dr. Earth,General Hydroponics (GHE),Bloom City Organics,Coast of Maine,",Manual,"AC Infinity Cloudlab 422 Advance Grow Tent 2x2 (24"" X 24"" X 48""),Soil Grow Medium,Soil Grow Medium,",Directly In Substrate,"Topping,LST,Defoliation,",,9,,,
1st contest Feb 14th 2022,Sgt Candy Crusher,Custom Breeder & Strain,600 watt,"Miracle-Gro,",Drip,"Soil Grow Medium,Perlite Grow Medium,",Paper Towel,"Topping,Defoliation,",,10,2.0,,
Mephisto Genetics Double Grape,Double Grape,Mephisto Genetics,260 watt,"Fox Farm,",Manual,"AC Infinity Cloudlab 642 Advance Grow Tent 4x2 (48"" X 24"" X 72""),Soil Grow Medium,Expanded Clay Grow Medium,",Other,"LST,Topping,Defoliation,",104.99,11,3.0,5.5,
Mont Blanc,Mont Blanc,T.H.Seeds,480 watt,"Fox Farm,",Manual,"Soil Grow Medium,",Paper Towel,"ScrOG,FIMing,LST,Lolipop,Defoliation,",,18,1.0,,8.5
Whiskey Zulu F3,Whiskey Zulu,Twenty20,1050 watt,,Manual,"Promix hp Grow Medium,",,,Custom,10,7.0,,
V. Moonlight ️,Velvet Moon,Green House Seed Co.,,,,,Glass Of Water,"SoG,",,19,,,
Researching” Double,Double Kush Cake Feminized,Sensi Seeds,,,Manual,,Glass Of Water,"SoG,",,20,,,
Researching” Mandarin Punch,Mandarin Punch Feminized,Sensi Seeds,,,Manual,,Glass Of Water,"SoG,Defoliation,Topping,",,19,,,
Researching” Bananas,Banana Kush Cake Feminized,Sensi Seeds,,,Manual,,Glass Of Water,"SoG,Defoliation,Topping,",,19,,,
Princess Cinderella Tortuga the 99th,Pilchards - Princess Cinderella Tortuga the 99th,Custom Breeder & Strain,400 watt,,Manual,"Soil Grow Medium,",Paper Towel,"Main-Lining,Defoliation,Topping,HST,",65.62,14,4.0,11.55,54.13
Royal Queen Seeds - Royal Cookies,Royal Cookies,Royal Queen Seeds,450 watt,"Advanced Nutrients,",Manual,"Soil Grow Medium,",Paper Towel,"LST,",Custom,17,1.0,,12.52
Afghan Kush Auto 2022,Afghan Kush Auto,Fast Buds,600 watt,,Manual,"HID / 400W 400W HPS Grow Bulb,Soil Grow Medium,",Paper Towel,"Ponytail,LST,Defoliation,Topping,",4,14,2.0,5.8,
2 Purple berry Kush one pot,Purple Berry Kush,Spliff Seeds,480 watt,"Advanced Nutrients,",Manual,"Plagron Batmix Grow Medium,",,"HST,2 girls one pot,",5.38,16,2.0,4.94,
Crop King // BubbaKush // Autopot,Bubba Kush,Crop King Seeds,300 watt,,Drip,"Other Grow Medium,Perlite Grow Medium,",Paper Towel,"Defoliation,LST,Lollipop,",,14,1.0,,3.39
Chocobang by Delicious Seeds,Chocobang,Delicious Seeds,480 watt,"Advanced Nutrients,BioBizz,",Manual,"Plagron batmix Grow Medium,",,"LST,Topping,Defoliation,",5.38,16,1.0,3.6,
Box 80x80x180 In house genetics & GuruPl,Gorilla Dosha,In House Genetics,200 watt,"Advanced Hydroponics of Holland,Atami,BioBizz,Grotek,",Manual,"Soil Grow Medium,Perlite Grow Medium,Expanded Clay Grow Medium,",,"Main-Lining,ScrOG,Defoliation,Topping,",8.61,17,2.0,,7.41
Pineapple dream edition by Kannabia,Kannabia Special,Kannabia Seed Company,480 watt,"Advanced Nutrients,BioBizz,",Manual,"Plagron batmix Grow Medium,",Paper Towel,"LST,Topping,Defoliation,",5.38,16,2.0,7.05,
Special Kush,Special Kush #1,Royal Queen Seeds,,,Manual,,,,,1,,,
Exp10-Haze Berry Automatic,Haze Berry Automatic,Royal Queen Seeds,150 watt,"BioBizz,",Manual,"Perlite Grow Medium,Humus de Lombriz Grow Medium,Turba Grow Medium,",Directly In Substrate,,7.53,11,3.0,6.51,26.6
Gorilla Glue Auto,Seedsman Gorilla Glue Auto Feminized,Custom Breeder & Strain,250 watt,"Fox Farm,",Manual,"Soil Grow Medium,",Paper Towel,,Custom,12,1.0,0.75,1.0
bochi auto,Bochi Auto,Caucasian Seeds,,"Green Planet Nutrients,",Drip,,,"Defoliation,LST,",,11,,0.71,1.41
FBT2209,FBT2209,Fast Buds,310 watt,"Monkey Nutrients,",Manual,"Soil Grow Medium,",Paper Towel,,Custom,9,1.0,,0.92
LSD-25,LSD-25 Auto,Fast Buds,150 watt,"General Hydroponics (GHE),Plant Success (Plant Revolution),Down To Earth,",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",Paper Towel,"LST,Defoliation,",52.49,11,1.0,,
2nd diary - The dark side of the grow,Pineapple Express Auto,Fast Buds,,"BioBizz,",,,Paper Towel,"Defoliation,",,FLOWERING,,,
When life gives a LEMON,Auto Lemon,Seedsman,300 watt,"Fox Farm,Terpinator,Real Growers,",Manual,"AC Infinity Cloudlab 642 Advance Grow Tent 4x2 (48"" X 24"" X 72""),ProMix Grow Medium,",Directly In Substrate,"LST,Defoliation,",26.25,9,3.0,4.5,
First attempt at Organic (living soil),Sherbet Punch,Elev8 Seeds,"LED / 150W Mars TS 1000,",,Manual,"Soil Grow Medium,",,"LST,Topping,",,16,1.0,,3.32
Masonic SLH Stardawg Mac x Wilson,Súper Lemon Haze Stardawg Mac x Wilson - Masonic seeds,Custom Breeder & Strain,,,Manual,,Other,"Defoliation,Topping,",,19,,,
"2nd try, DWS, Northern Light Auto",Northern Lights Automatic,Sensi Seeds,120 watt,"Canna,",Hydroponics,"Mineral Wool Grow Medium,",Paper Towel,,,14,,,
Str8 auto,Sour Kush Auto,Growers Choice Seeds,95 watt,"Fox Farm,",Manual,"Critical Purple Autoflowering Growers Choice Seeds,AC Infinity Cloudlab 733 Advance Grow Tent 3x3 (36"" X 36"" X 72""),Soil Grow Medium,",Paper Towel,"Defoliation,ScrOG,LST,",,18,1.0,,
PIRKUSH Auto,PirKush Auto,Caucasian Seeds,,"General Hydroponics (GHE),Future Harvest,",Manual,,,"LST,Topping,HST,Defoliation,",,8,,,
Zkittles,Hypno Zkittlez,Hypno Seeds,765 watt,"Gen1:11,",Manual,"Coco Coir Grow Medium,Expanded Clay Grow Medium,",,"FIMing,",13.45,14,5.0,10.86,24.62
Blue dream no till,Blue Dream Auto,Fast Buds,450 watt,,Manual,"Soil Grow Medium,Vermiculite Grow Medium,",Directly In Substrate,"ScrOG,",43.04,12,1.0,,12.0
AIETI AUTO,Aieti Auto,Caucasian Seeds,,,Manual,,,"LST,Topping,",,10,,,
Outdoor Perpetual Grow,Purple Punch Auto,Fast Buds,,"PLAGRON.,",Manual,"Soil Grow Medium,Nettles dried and grinded Grow Medium,Perlite Grow Medium,Ash and clay Grow Medium,",Paper Towel,"LST,",,13,1.0,0.53,1.76
Fast Buds Buddy,Purple Punch Auto,Fast Buds,100 watt,"PLAGRON.,Bio Tabs,BioBizz,Organics Nutrients,Hesi,",Manual,"Plagron royalmix Grow Medium,",Glass Of Water,"LST,Defoliation,",,13,1.0,0.63,3.0
Banana Punch by Barney's farm,Banana Punch,Barney'S Farm,480 watt,"Advanced Nutrients,BioBizz,",Manual,"Plagron batmix Grow Medium,",,"Defoliation,",16.15,16,3.0,12.35,
2022 January,Strawberry Glue,Amsterdam Genetics,728 watt,"Down To Earth,",Manual,"Forbidden Fruit Growers Choice Seeds,Soil Grow Medium,",Directly In Substrate,"Main-Lining,Defoliation,LST,HST,",,19,,,
Blueberry gelato auto - discreet seeds,Blueberry gelato auto - discreet seeds,Custom Breeder & Strain,250 watt,"Canna,",Manual,"Coco Coir Grow Medium,",Paper Towel,,13.12,11,1.0,,3.0
Mohawk bud mutation Ethos Apex R1,Ethos Apex R1,ETHOS Genetics,480 watt,"Advanced Nutrients,",Manual,"Plagron batmix Grow Medium,",,"LST,Topping,Breaking shit,",4.31,16,1.0,3.88,
Kief Richards mimosa cake auto,Mimosa Cake Auto,Fast Buds,"LED / 1000W Custom,","Fox Farm,Botanicare,BioBizz,Advanced Hydroponics of Holland,Advanced Nutrients,",Manual,"Soil Grow Medium,",Peat Pellet,"ScrOG,LST,",13.12,10,1.0,2.08,12.17
Biscotti mintz by Barney's farm,Biscotti Mintz,Barney'S Farm,480 watt,"Advanced Nutrients,BioBizz,",Manual,"Plagron batmix Grow Medium,",Paper Towel,"LST,Topping,Defoliation,",4.31,16,1.0,1.94,
Grow number 2 - first photoperiod try,White Widow,Amsterdam Marijuana Seeds AMS,680 watt,"Humboldts Secret,Fox Farm,Botanicare,",Manual,"Fox Farm Strawberry Fields Grow Medium,Fox Farm Ocean Forest Grow Medium,Perlite Grow Medium,",,"12-12 From Seed,Topping,LST,Main-Lining,ScrOG,",157.48,16,3.0,,
Lemon Shining Silver Haze,Lemon Shining Silver Haze,Royal Queen Seeds,480 watt,"General Hydroponics (GHE),",Manual,"Soil Grow Medium,Ocean Forest Grow Medium,",,"Topping,",347.77,20,1.0,,6.86
