diary_name,strain,strains_company,light_watt,nutrients,indoor,watering,soil,germination,grow_techniques,grow_room_size,weeks_to_harvest,num_of_plants,bud_dry_weight,bud_wet_weight
"Triceracrops, Bearer of the Smallest",Original Skunk 1 Reg,Seedsman,300 watt,"BuildASoil,Dr. Earth,PLAGRON.,",True,Manual,,Directly In Substrate,"12-12 From Seed,",Custom,10,1,,10
Finnish auto strain - PPC,PPC auto,Custom Breeder & Strain,135 watt,"BioBizz,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,Worm casting Grow Medium,",,"LST,",0.6,11,3,67,400
StressKiller Auto -- powered by RQS,Stress Killer Automatic CBD,Royal Queen Seeds,128 watt,"Hesi,RQS Organic Nutrients,",True,Manual,"Biobizz AllMix Grow Medium,",Other,,0.36,14,1,74,350
Lemon Tree,Lemon Tree,Barney'S Farm,100 watt,"Green House Feeding,",True,,"Biobizz Light Mix Soil Grow Medium,",Glass Of Water,"Defoliation,",0.49,8,1,,50
Lost Pearl,Lost Pearl,Green House Seed Co.,120 watt,"PLAGRON.,Organics Nutrients,Guanokalong,Canna,BioBizz,",True,Manual,"canna terra professional Grow Medium,",,"LST,Defoliation,",,11,,,
Different genetics,Northern Light Automatic,Royal Queen Seeds,750 watt,"Cellmax,BIOCANNA,Top Crop,Green House Feeding,Advanced Nutrients,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,",,,1.5,11,12,,
Purple Punch,Purple Punch Auto,Fast Buds,680 watt,"Advanced Nutrients,",True,Manual,"Soil Grow Medium,",Glass Of Water,"Defoliation,LST,",0.6,9,1,,1450
Hypno Zkittlez,Hypno Zkittlez,Hypno Seeds,150 watt,"Hesi,Aptus,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,",,"Defoliation,LST,",1.5,16,1,28.7,200
LSD 25 auto (organic),LSD-25 Auto,Fast Buds,2000 watt,,True,Manual,"Soil Grow Medium,Perlite Grow Medium,Vermiculite Grow Medium,อื่น Grow Medium,",Glass Of Water,"LST,Defoliation,",,9,1,70.4,395
Doctor's Choice,Cali Crasher,Doctor'S Choice,300 watt,"Advanced Nutrients,",True,,"Soil Grow Medium,Soil Grow Medium,Soil Grow Medium,Soil Grow Medium,Soil Grow Medium,",,"12-12 From Seed,",50,12,50,,50
5x5 - Sealed Room - Build A Soil,Purple Ghost Candy,Seedsman,650 watt,"BuildASoil,Dr. Earth,",True,Manual,"Build A Soil - Take N Bake Grow Medium,Soil Grow Medium,",Paper Towel,"Defoliation,ScrOG,Topping,LST,",7.62,17,1,,210.8
GORILLA ZKITTLEZ FAST BUDS,Gorilla Zkittlez Auto,Fast Buds,,"PLAGRON.,Advanced Nutrients,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,Vermiculite Grow Medium,",Paper Towel,"Topping,LST,Main-Lining,Defoliation,",,9,1,,480
"Strawberry chemdawg og, sp3000",Strawberry Chemdawg OG,Super Sativa Seed Club,300 watt,"BioBizz,Shogun,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,",Glass Of Water,"FIMing,Topping,ScrOG,HST,LST,Defoliation,",1,16,2,396.89,
Green House Cheese,GH Cheese,Green House Seed Co.,300 watt,"BioBizz,Atami,PLAGRON.,",True,Manual,"Soil Grow Medium,Biobizz lightmix Grow Medium,",Paper Towel,"Topping,LST,Defoliation,",,17,1,,
Sweet ZZ,Sweet ZZ,Royal Queen Seeds,300 watt,"BioBizz,Atami,",True,Manual,"Soil Grow Medium,Biobizz lightmix Grow Medium,",Paper Towel,"FIMing,Topping,LST,Defoliation,",,17,,,
GelatOG Auto,Gelat.OG Auto,Seedsman,100 watt,"Gaia Green,",True,Manual,"Soil Grow Medium,",Directly In Substrate,"LST,Leaf tucking,Defoliation,",,11,2,98.92,
APPLE FRITTER - ZAMNESIA,Apple Fritter,Zamnesia Seeds,140 watt,"Metrop,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,",Directly In Substrate,"LST,Defoliation,",,9,1,58,
Single Jack47,Jack 47®,Sweet Seeds,270 watt,"BioBizz,Plant Success (Plant Revolution),Guanokalong,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,",,"ScrOG,LST,Topping,Defoliation,",0.7,18,1,155,
The Making Of Magic Melon,Magic Melon,Dark Heart Nursery,"LED / 48W Custom,LED / 28W Custom,","Growth Science,Botanicare,Bio Tabs,",True,,"Soil Grow Medium,",,,,8,,,
The Raising of Romulan,Romulan,Dark Heart Nursery,76 watt,"Growth Science,Botanicare,Bio Tabs,",True,,"Soil Grow Medium,",,"LST,Defoliation,",,9,,,
Auto Orange Bud By Dutch Passion,Auto Orange Bud,Dutch Passion,310 watt,"BioBizz,",True,Manual,"Biobizz light mix Grow Medium,",Glass Of Water,,1,8,1,330,66
MARS HYDRO FC-E3000 GHE TEST1,HighCloudZ,Green House Seed Co.,300 watt,"Aptus,Green House Feeding,General Hydroponics (GHE),",True,Manual,,,"Defoliation,HST,",0.4,20,2,532,2300
Random Autos,Blueberry Cheese Auto,Barney'S Farm,300 watt,"Real Growers,General Hydroponics (GHE),Botanicare,Down To Earth,",True,Manual,"Soil Grow Medium,",Paper Towel,,,14,,,
MARS HYDRO FC-E3000 GHE TEST 2,AlienZ,Green House Seed Co.,300 watt,"Aptus,Green House Feeding,",True,Manual,,Glass Of Water,"HST,LST,Defoliation,ScrOG,",0.4,20,2,243,1200
BCN Critical XXL auto 4 Solo cup,BCN Critical XXL Autoflower,Seedstockers,200 watt,,True,Hydroponics,"Coco Coir Grow Medium,",Directly In Substrate,"Topping,LST,Defoliation,",0.05,13,1,16,108
"Runtz, Critical and Amnesia",Mr Q runtz,Custom Breeder & Strain,220 watt,"Top Crop,Mills Nutrients,",True,Manual,"humus Grow Medium,Coco Coir Grow Medium,mycorrhiza Grow Medium,diatomaceous earth Grow Medium,trichoderma Grow Medium,Perlite Grow Medium,",Paper Towel,"Topping,Defoliation,LST,",1,31,1,36,60
Manderine XL Auto de Ganja Farmer,Mandarine XL Auto,Ganja Farmer Seeds,105 watt,"Dutchpro USA,",True,Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",Paper Towel,"LST,Defoliation,",Custom,12,1,62,
Wedding Cake Auto - Dynomyco,Wedding Cake Auto,Barney'S Farm,300 watt,"BIOCANNA,Dynomyco,BioBizz,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,",Glass Of Water,"Defoliation,",1,10,1,43,
Critical Kush Auto - Dynomyco,Critical Kush Auto,Barney'S Farm,300 watt,"BIOCANNA,Dynomyco,BioBizz,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,",Glass Of Water,"Defoliation,",1,10,1,54,
